id,program,prior,length,depth,lambda,apps,visible,semi,hidden
c071,(lambda (map (lambda (+ 2 $0)) $0)),-21.711725385570000,11,6,1,4,0,6,0
c072,(lambda (flatten (map (lambda (cons $0 (singleton $0))) $0))),-27.7856312622946,15,7,1,6,5,3,0
c073,(lambda (mapi + $0)),NA,6,3,1,2,0,0,3
c074,(lambda (filter (lambda (> $0 7)) $0)),-19.843980009364000,11,6,1,4,1,1,4
c075,(lambda (filteri (lambda (lambda (is_odd $1))) $0)),-15.724942834551600,10,6,1,3,1,0,5
c076,(lambda (map (lambda (- $0 3)) (filter (lambda (> $0 5)) $0))),-37.91811923520770,20,7,1,8,0,1,10
c077,(lambda (singleton (length $0))),-12.130486658573600,6,3,1,2,0,1,2
c078,(lambda (singleton (max $0))),-12.130486658573600,6,3,1,2,0,2,1
c079,(lambda (singleton (sum $0))),-12.079193364186000,6,3,1,2,0,1,2
c080,(lambda (reverse $0)),-7.275172319452770,4,2,1,1,2,0,0
c081,(lambda (singleton (third $0))),-12.079193364186000,6,3,1,2,0,3,0
c082,(lambda (if (> 3 (length $0)) empty (singleton (third $0)))),-35.59572620638570,18,6,1,8,0,4,5
c083,(lambda (singleton (nth 7 $0))),-16.883214408919300,8,4,1,3,0,4,0
c084,(lambda (if (> 7 (length $0)) empty (singleton (nth 7 $0)))),-40.399747251118900,20,6,1,9,0,5,5
c085,(lambda (singleton (nth (first $0) (drop 1 $0)))),-28.962407773105300,14,5,1,6,0,3,4
c086,(lambda (swap 1 4 $0)),-16.883214408919300,8,4,1,3,2,2,0
c087,(lambda (swap 2 3 $0)),-16.883214408919300,8,4,1,3,2,2,0
c088,(lambda (if (or (== (second $0) (nth 4 $0)) (> (length $0) 7)) (swap 1 4 $0) (swap 2 3 $0))),-81.57470663585220,40,9,1,19,2,12,6
c089,(lambda (if (or (== (second $0) 7) (> (nth 4 $0) 7)) (swap 1 4 $0) (swap 2 3 $0))),-77.88582718173820,38,9,1,18,2,13,4
c090,(lambda (cons 18 (cons 42 (cons 77 (cons 20 (singleton 36)))))),-42.20803602229820,20,6,1,9,10,0,0
c091,(lambda (cons 81 (cons 99 (cons 41 (cons 23 (cons 22 (cons 75 (cons 68 (cons 30 (cons 24 (singleton 69))))))))))),-84.41607204459640,40,11,1,19,20,0,0
c092,(lambda (cons 92 (cons 63 (cons 34 (cons 18 (cons 55 $0)))))),-45.8456221820246,22,7,1,10,11,0,0
c093,(lambda (repeat (first $0) 10)),-16.883214408919300,8,4,1,3,1,3,0
c094,(lambda (concat (slice 3 4 $0) (concat (take 2 $0) (drop 4 $0)))),-48.316773456744100,24,6,1,11,5,7,0
c095,(lambda (drop 1 (droplast 1 $0))),-20.52080056864570,10,4,1,4,1,4,0
c096,(lambda (cons 98 (append $0 37))),-20.52080056864570,10,4,1,4,5,0,0
c097,(lambda (concat (cons 11 (cons 21 (cons 43 (singleton 19)))) (concat $0 (cons 7 (cons 89 (cons 0 (singleton 57))))))),-78.4456161148563,38,7,1,18,19,0,0
c098,(lambda (mapi + $0)),NA,6,3,1,2,0,0,3
c099,(lambda (filter (lambda (> $0 49)) $0)),-19.843980009364000,11,6,1,4,1,1,4
c100,(lambda (reverse $0)),-7.275172319452770,4,2,1,1,2,0,0
